Day,Weather,Customers_Forecast,Meals_Prepared,Festival,Event_Type,Staff_Count,Avg_Rating,Special_Event,Surplus_Meals
Saturday,Cloudy,400,484,No,Buffet,23,4.32,0,111.0
Thursday,Rainy,235,264,No,Regular,16,3.98,0,42.1
Saturday,Sunny,86,120,No,Regular,10,4.76,0,5.2
Friday,Sunny,164,204,No,Regular,14,3.33,1,59.4
Monday,Rainy,176,220,No,Regular,11,4.2,0,65.9
Sunday,Cloudy,217,305,No,Banquet,12,3.9,0,102.3
Saturday,Cloudy,672,771,No,Corporate,32,4.02,1,73.7
Saturday,Rainy,86,111,Diwali,Regular,5,3.31,0,36.3
Monday,Rainy,350,480,No,Buffet,19,4.66,0,197.0
Thursday,Cloudy,759,1030,Diwali,Buffet,39,3.53,0,289.2
Wednesday,Stormy,134,172,New Year,Regular,8,4.31,0,77.2
Sunday,Cloudy,539,630,No,Regular,29,3.89,0,60.8
Friday,Cloudy,306,395,New Year,Buffet,19,4.0,0,126.2
Saturday,Sunny,305,385,No,Regular,20,4.37,0,66.5
Thursday,Sunny,388,474,No,Buffet,21,4.64,0,93.6
Tuesday,Sunny,402,529,New Year,Regular,23,3.56,0,109.0
Thursday,Rainy,507,625,Diwali,Regular,24,3.95,0,203.2
Monday,Cloudy,510,615,No,Buffet,27,4.24,0,149.6
Saturday,Sunny,113,153,No,Buffet,9,4.1,1,38.7
Friday,Cloudy,291,386,No,Banquet,17,4.48,1,107.6
Saturday,Sunny,520,591,Christmas,Regular,28,4.75,0,81.7
Wednesday,Sunny,280,368,No,Buffet,20,3.84,0,73.8
Sunday,Stormy,171,237,No,Banquet,13,3.77,1,149.4
Sunday,Sunny,556,716,No,Buffet,27,4.35,0,147.1
Saturday,Sunny,423,561,No,Banquet,26,3.62,0,143.8
Tuesday,Cloudy,774,1041,No,Banquet,43,4.32,0,291.5
Thursday,Sunny,523,603,No,Corporate,23,4.1,0,39.5
Monday,Cloudy,198,277,No,Banquet,13,4.05,0,86.4
Tuesday,Stormy,620,792,No,Buffet,31,4.42,0,459.6
Friday,Cloudy,818,1055,No,Buffet,41,3.92,0,253.6
Saturday,Cloudy,741,1033,No,Banquet,42,5.0,0,291.4
Sunday,Sunny,456,519,No,Corporate,23,4.0,0,29.8
Wednesday,Cloudy,335,419,No,Regular,17,3.81,0,64.8
Wednesday,Sunny,350,394,No,Regular,18,5.0,0,34.7
Thursday,Sunny,112,146,No,Regular,11,4.11,0,11.4
Tuesday,Rainy,134,162,No,Corporate,12,3.67,0,43.1
Monday,Sunny,463,515,No,Regular,20,4.05,0,33.0
Thursday,Cloudy,385,501,Diwali,Regular,20,4.89,0,99.8
Tuesday,Sunny,201,275,Diwali,Buffet,12,4.23,0,91.9
Friday,Rainy,328,409,No,Regular,16,3.73,1,115.5
Thursday,Sunny,617,855,No,Banquet,34,4.52,0,224.4
Saturday,Sunny,255,321,No,Buffet,16,4.39,0,77.7
Friday,Rainy,228,283,No,Regular,15,4.37,1,80.1
Wednesday,Sunny,576,661,No,Regular,29,3.43,1,122.4
Saturday,Stormy,361,399,New Year,Corporate,17,3.68,0,109.7
Saturday,Sunny,483,635,No,Buffet,26,3.47,0,151.3
Wednesday,Cloudy,130,159,New Year,Buffet,12,3.98,0,41.8
Wednesday,Stormy,112,148,No,Regular,10,4.73,0,47.6
Friday,Cloudy,750,979,No,Banquet,38,3.34,0,257.9
Monday,Cloudy,217,266,No,Corporate,13,3.62,0,31.8
Tuesday,Sunny,274,344,No,Buffet,15,3.4,1,133.0
Monday,Rainy,171,200,New Year,Regular,13,4.45,0,66.3
Saturday,Rainy,852,1072,No,Banquet,42,4.9,0,403.4
Friday,Cloudy,886,1047,No,Buffet,43,4.23,1,255.3
Friday,Stormy,262,335,New Year,Regular,16,4.32,0,134.0
Saturday,Cloudy,351,476,No,Banquet,24,4.1,0,143.8
Thursday,Cloudy,466,552,No,Corporate,22,4.04,0,57.7
Thursday,Sunny,431,585,No,Buffet,25,4.41,0,161.3
Monday,Cloudy,474,545,No,Corporate,25,3.74,0,31.6
Monday,Rainy,498,579,Christmas,Regular,26,4.39,0,172.2
Friday,Cloudy,766,927,No,Buffet,40,3.99,0,202.6
Thursday,Sunny,158,211,No,Regular,12,4.1,0,43.4
Thursday,Cloudy,451,574,No,Buffet,24,3.88,0,186.1
Saturday,Rainy,386,458,No,Regular,21,3.23,0,103.9
Friday,Stormy,688,814,No,Regular,32,4.43,0,257.3
Thursday,Sunny,622,787,No,Banquet,30,4.07,0,175.9
Thursday,Sunny,498,611,No,Regular,28,4.09,0,87.4
Wednesday,Sunny,519,627,No,Corporate,26,4.91,0,54.9
Monday,Sunny,466,535,No,Regular,25,4.18,0,40.6
Thursday,Stormy,446,519,No,Regular,21,3.8,0,170.5
Tuesday,Sunny,373,452,No,Regular,19,3.47,0,64.5
Wednesday,Cloudy,112,153,No,Regular,12,3.98,0,23.0
Saturday,Sunny,585,737,No,Regular,29,4.29,1,128.1
Tuesday,Sunny,253,290,No,Regular,17,3.51,0,33.9
Monday,Stormy,165,219,No,Buffet,12,4.57,0,117.1
Wednesday,Cloudy,324,391,No,Buffet,17,3.95,0,74.1
Wednesday,Sunny,267,328,No,Regular,15,4.04,0,38.3
Friday,Sunny,352,431,No,Regular,17,4.11,0,58.2
Thursday,Stormy,228,294,No,Regular,14,3.51,0,121.7
Saturday,Stormy,741,914,No,Regular,36,3.89,1,384.1
Friday,Sunny,699,858,No,Regular,32,4.28,0,89.3
Wednesday,Cloudy,104,132,Eid,Buffet,11,4.08,0,49.6
Saturday,Sunny,513,636,No,Buffet,29,3.9,0,153.0
Tuesday,Cloudy,217,261,No,Corporate,11,3.97,1,41.4
Monday,Sunny,502,582,No,Corporate,25,4.34,0,23.8
Monday,Rainy,422,579,No,Buffet,27,4.7,0,218.3
Saturday,Stormy,524,638,No,Regular,24,4.04,0,237.4
Thursday,Sunny,116,157,No,Regular,7,3.74,0,20.5
Tuesday,Sunny,576,699,No,Buffet,27,5.0,0,115.5
Thursday,Sunny,346,417,No,Regular,19,4.54,0,41.0
Tuesday,Sunny,573,708,No,Regular,30,4.06,1,102.6
Friday,Sunny,217,307,Eid,Banquet,17,3.86,0,79.9
Thursday,Sunny,241,318,No,Regular,18,4.83,1,56.1
Wednesday,Stormy,552,688,No,Regular,29,3.76,0,205.1
Wednesday,Sunny,282,389,No,Banquet,15,4.12,0,108.1
Friday,Rainy,269,313,Christmas,Regular,14,4.41,0,91.0
Wednesday,Sunny,241,319,Eid,Regular,17,4.2,0,77.9
Monday,Cloudy,370,435,No,Regular,22,3.72,0,62.3
Monday,Sunny,98,129,No,Regular,6,3.95,0,13.9
Sunday,Stormy,720,1031,Christmas,Banquet,43,4.11,0,663.5
Sunday,Sunny,777,927,No,Buffet,37,3.62,0,147.4
Friday,Sunny,353,471,No,Buffet,18,4.04,0,136.8
